,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Issues,Assignees,,,,,,,,Add assignees to an Issue,POST,/repos/:owner/:repo/issues/:number/assignees,201,,,x,,,x,,,assignees=Array of names,
Issues,Assignees,,,,,,,,Remove assignees from an Issue,DELETE,/repos/:owner/:repo/issues/:number/assignees,200,,,x,,,,,,assignees=Array of names,
Issues,Comments,,,x,,,,,List comments on an issue,GET,/repos/:owner/:repo/issues/:number/comments,200,,x,,,,,,,,
Issues,Comments,,,x,,,,,List comments in a repository,GET,/repos/:owner/:repo/issues/comments,200,,x,,,,,,,,
Issues,Comments,,,x,,,,,Get a single comment,GET,/repos/:owner/:repo/issues/comments/:id,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Issues,Comments,,,,,,,,Create a comment,POST ,/repos/:owner/:repo/issues/:number/comments,201,,,,,,x,x,,,application/vnd.github.squirrel-girl-preview
Issues,Comments,,,,,,,,Edit a comment,PATCH,/repos/:owner/:repo/issues/comments/:id,200,,,x,,,x,,,body=S,
Issues,Comments,,,,,,,,Delete a comment,DELETE,/repos/:owner/:repo/issues/comments/:id,204,,,,x,,x,,,,
Issues,Events,,,,,,,,List events for an issue,GET,/repos/:owner/:repo/issues/:issue_number/events,200,,x,,,,,,,lots of stuff,
Issues,Events,,,,,,,,List events for a repository,GET,/repos/:owner/:repo/issues/events,200,,x,,,,,,,lots of stuff,
Issues,Events,,,,,,,,Get a single event,GET,/repos/:owner/:repo/issues/events/:id,200,,,x,,,,,,lots of stuff,
Issues,Labels,,,,,,,,List all labels for this repository,GET,/repos/:owner/:repo/labels,200,,x,,,,,,,,
Issues,Labels,,,,,,,,Get a single label,GET,/repos/:owner/:repo/labels/:name,200,,,x,,,,,,,
Issues,Labels,,,,,,,,Create a label,POST,/repos/:owner/:repo/labels,201,,,x,,,,,,"name=S, color=RGB6",
Issues,Labels,,,,,,,,Update a label,PATCH,/repos/:owner/:repo/labels/:name,200,,,x,,,,,,,
Issues,Labels,,,,,,,,Delete a label,DELETE,/repos/:owner/:repo/labels/:name,204,,,,x,,,,,,
Issues,Labels,,,,,,,,List labels on an issue,GET,/repos/:owner/:repo/issues/:number/labels,200,,x,,,,,,,,
Issues,Labels,,,,,,,,Add labels to an issue,POST,/repos/:owner/:repo/issues/:number/labels,200,,x,,,,,,x,,
Issues,Labels,,,,,,,,Remove a label from an issue,DELETE,/repos/:owner/:repo/issues/:number/labels/:name,204,,,,x,,,,x,,
Issues,Labels,,,,,,,,Replace all labels for an issue,PUT,/repos/:owner/:repo/issues/:number/labels,200,,x,,,,,,,,
Issues,Labels,,,,,,,,Remove all labels from an issue,DELETE,/repos/:owner/:repo/issues/:number/labels,204,,,,x,,,,,,
Issues,Labels,,,,,,,,Get labels for every issue in a milestone,GET,/repos/:owner/:repo/milestones/:number/labels,200,,x,,,,,,,,
Issues,Milestones,,,,,,,,List milestones for a repository,GET,/repos/:owner/:repo/milestones,200,,x,,,,,,,,"state={open*,closed,all}, sort={due_on*, completeness}, direction={asc*,desc}"
Issues,Milestones,,,,,,,,Get a single milestone,GET,/repos/:owner/:repo/milestones/:number,200,,,x,,,,,,,
Issues,Milestones,,,,,,,,Create a milestone,POST,/repos/:owner/:repo/milestones,201,,,x,,,,,,,"title=S*, state={open*,closed}, description=S, due_on=ISO8601"
Issues,Milestones,,,,,,,,Update a milestone,PATCH,/repos/:owner/:repo/milestones/:number,200,,,x,,,,,,,"title=S, state={open*,closed}, description=S, due_on=ISO8601"
Issues,Milestones,,,,,,,,Delete a milestone,DELETE,/repos/:owner/:repo/milestones/:number,204,,,,x,,,,,,
Issues,Timeline,,x,,,,,,List events for an issue,GET,/repos/:owner/:repo/issues/:issue_number/timeline,200,,x,,,,,,,lots of stuff, application/vnd.github.mockingbird-preview
Migration,Migrations,,x,,,,,,,,,,,,,,,,,,,
,Source Imports,,x,,,,,,,,,,,,,,,,,,,
Miscellaneous,Emojis,,,,,,,,List emojis,GET,/emojis,200,,,x,,,,,,,
Miscellaneous,Gitignore,,,,,,,,Listing available templates,GET,/gitignore/templates,200,,,,,x,,,,,
Miscellaneous,Gitignore,,,,x,,,,Get a single template,GET,/gitignore/templates/:template,200,,,x,,,,,,,
Miscellaneous,Licenses,,x,,,,,,List all licenses,GET,/licenses,200,,x,,,,,,,, application/vnd.github.drax-preview+json
Miscellaneous,Licenses,,x,,,,,,Get an individual license,GET,/licenses/:license,200,,,x,,,,,,, application/vnd.github.drax-preview+json
Miscellaneous,Licenses,,x,,,,,,Get a repository's license,GET,/repos/:owner/:repo,200,,,,,,,,,, application/vnd.github.drax-preview+json
Miscellaneous,Licenses,,x,,x,,,,Get the contents of a repository's license,GET,/repos/:owner/:repo/license,200,,,,,,,,,, application/vnd.github.drax-preview+json
Miscellaneous,Markdown,,,,,,,,Render an arbitrary Markdown document,POST,/markdown,200,,,,,,,,,"text=S*,mode={markdown*,gfm},context=S(repo name)",
Miscellaneous,Markdown,,,,,,,,Render a Markdown document in raw mode,POST,/markdown/raw,200,,,,,,,,,,
Miscellaneous,Meta,,,,,,,, Information about GitHub.com,GET,/meta,200,,,x,,,,,,,
Miscellaneous,Rate Limit,,,,,,,,Get your current rate limit status,GET,/rate_limit,200,,,x,,,,,,,
Organizations,Members,,,,,,,,,,,,,,,,,,,,,
,Teams,,,,,,,,,,,,,,,,,,,,,
,Webhooks,,,,,,,,,,,,,,,,,,,,,
Pull Requests,,,,,,,,,List pull requests,GET,/repos/:owner/:repo/pulls,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
Pull Requests,,,,,,,,,Get a single pull request,GET,/repos/:owner/:repo/pulls/:number,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
Pull Requests,,,,,,,,,Create a pull request,POST,/repos/:owner/:repo/pulls,201,,,x,,,,x,,,"application/vnd.github.VERSION.{raw,html,text,full,diff,patch}+json"
